"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","BE",221,566.510903426791,"2",1941,"2","1","4","1","11","2","NA","NA","4","NA","NA","NA",72,71,22,"1","0","0","100"
"2013","BE",281,566.510903426791,"2",1969,"1","1","3","1","11","5","NA","NA","NA","NA","NA","NA",44,43,28,"1","0","0","0"
"2013","BE",371,566.510903426791,"1",1986,"1","1","4","1","11","2","NA","NA","NA","0","0","20",26,26,37,"0.3333333333","2","0","0"
"2013","BE",431,566.510903426791,"3",1964,"1","1","4","1","NA","2","NA","NA","NA","NA","NA","NA",48,48,43,"99","0","0","0"
"2013","BE",501,566.510903426791,"4",1961,"1","1","1","4","11","2","NA","NA","NA","NA","0","NA",51,51,50,"0.7857142857","0","0","101"
"2013","BE",541,566.510903426791,"3",1946,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",67,66,54,"1","0","0","111"
"2013","BE",661,566.510903426791,"2",1978,"1","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",35,34,66,"0.5","1","0","1"
"2013","BE",741,566.510903426791,"3",1971,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",41,41,74,"0","2","0","0"
"2013","BE",771,566.510903426791,"4",1947,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",66,65,77,"0","2","0","0"
"2013","BE",791,566.510903426791,"3",1937,"2","1","3","1","11","2","NA","NA","NA","NA","0","NA",76,75,79,"0.8142857143","0","0","0"
"2013","BE",831,566.510903426791,"4",1962,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",51,50,83,"1","0","0","101"
"2013","BE",881,566.510903426791,"2",1983,"1","1","3","1","NA","2","NA","NA","NA","NA","NA","NA",29,29,88,"1","0","1","0"
"2013","BE",1111,566.510903426791,"2",1951,"1","1","1","1","11","2","32","NA","NA","NA","NA","NA",62,61,111,"0.9166666667","2","0","0"
"2013","BE",1151,566.510903426791,"3",1951,"2","1","1","1","NA","2","NA","NA","5","NA","NA","NA",62,61,115,"99","2","0","0"
"2013","BE",1431,566.510903426791,"3",1965,"1","1","1","1","11","NA","NA","32","0","NA","NA","NA",48,47,143,"99","0","0","0"
"2013","BE",1471,566.510903426791,"1",1965,"1","1","3","1","11","5","NA","NA","NA","0","NA","NA",47,47,147,"0.4523809524","0","0","0"
"2013","BE",1561,566.510903426791,"2",1940,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",73,72,156,"99","2","0","0"
"2013","BE",1601,566.510903426791,"3",1952,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",61,60,160,"1","2","0","0"
"2013","BE",1761,566.510903426791,"2",1938,"2","1","4","4","11","NA","NA","32","NA","NA","NA","NA",74,74,176,"99","2","0","0"
"2013","BE",1891,566.510903426791,"3",1932,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",80,80,189,"0.9571428571","0","0","0"
"2013","BE",2241,566.510903426791,"2",1981,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",32,31,224,"99","0","0","0"
"2013","BE",2441,566.510903426791,"3",1966,"1","1","3","1","NA","NA","NA","NA","NA","NA","NA","NA",47,46,244,"0.9642857143","0","0","0"
"2013","BE",2801,566.510903426791,"1",1982,"2","1","3","1","NA","2","NA","NA","NA","NA","0","NA",31,30,280,"0","0","0","101"
"2013","BE",3001,566.510903426791,"1",1961,"1","1","1","1","11","2","NA","35","NA","NA","0","NA",51,51,300,"1","2","0","100"
"2013","BE",3031,566.510903426791,"1",1944,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",69,68,303,"1","1","0","0"
"2013","BE",3151,566.510903426791,"3",1952,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",60,60,315,"0.1042868754","2","0","0"
"2013","BE",3191,566.510903426791,"4",1943,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",70,69,319,"0.8380952381","0","0","0"
"2013","BE",3481,566.510903426791,"4",1949,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",63,63,348,"0.9714285714","0","1","0"
