"DB010","DB020","DB030","DB040","DB062","DB090"
"2013","BE",22,"BE10","NA","699.4725"
"2013","BE",28,"BE10","NA","816.6237"
"2013","BE",37,"BE10","NA","1267.107"
"2013","BE",43,"BE10","NA","927.3741"
"2013","BE",50,"BE10","NA","2381.862"
"2013","BE",54,"BE10","NA","1103.985"
"2013","BE",66,"BE10","NA","950.3198"
"2013","BE",74,"BE10","NA","1482.625"
"2013","BE",77,"BE10","NA","833.649"
"2013","BE",79,"BE10","NA","494.4894"
"2013","BE",83,"BE10","NA","1493.342"
"2013","BE",88,"BE10","NA","174.8705"
"2013","BE",111,"BE10","NA","648.3415"
"2013","BE",115,"BE10","NA","787.2039"
"2013","BE",143,"BE10","NA","578.4586"
"2013","BE",147,"BE10","NA","636.1183"
"2013","BE",156,"BE10","NA","758.6703"
"2013","BE",160,"BE10","NA","693.3554"
"2013","BE",176,"BE10","NA","1356.087"
"2013","BE",189,"BE10","NA","834.5631"
"2013","BE",224,"BE10","NA","521.3139"
"2013","BE",244,"BE10","NA","984.5014"
"2013","BE",280,"BE10","NA","461.6326"
"2013","BE",300,"BE10","NA","3360.019"
"2013","BE",303,"BE10","NA","1035.02"
"2013","BE",315,"BE10","NA","380.0618"
"2013","BE",319,"BE10","NA","960.3941"
"2013","BE",348,"BE10","NA","1373.55"
"2013","BE",351,"BE10","NA","536.3843"
"2013","BE",360,"BE10","NA","767.6974"
"2013","BE",370,"BE10","NA","805.6905"
"2013","BE",375,"BE10","NA","1271.051"
"2013","BE",402,"BE10","NA","847.4502"
"2013","BE",410,"BE10","NA","4601.758"
"2013","BE",412,"BE10","NA","1295.288"
"2013","BE",415,"BE10","NA","709.148"
"2013","BE",438,"BE10","NA","1745.347"
"2013","BE",444,"BE10","NA","657.3685"
"2013","BE",506,"BE10","NA","1371.664"
"2013","BE",520,"BE10","NA","698.4403"
"2013","BE",521,"BE10","NA","565.6181"
"2013","BE",533,"BE10","NA","992.9789"
"2013","BE",546,"BE10","NA","562.964"
"2013","BE",557,"BE10","NA","542.6912"
"2013","BE",583,"BE10","NA","629.823"
"2013","BE",587,"BE10","NA","582.5942"
"2013","BE",591,"BE10","NA","736.7075"
"2013","BE",595,"BE10","NA","817.0036"
"2013","BE",597,"BE10","NA","675.9292"
"2013","BE",610,"BE10","NA","1282.443"
"2013","BE",639,"BE10","NA","820.083"
"2013","BE",652,"BE10","NA","1730.328"
"2013","BE",656,"BE10","NA","417.2998"
"2013","BE",662,"BE10","NA","788.1425"
"2013","BE",667,"BE10","NA","663.0298"
"2013","BE",708,"BE10","NA","745.937"
"2013","BE",713,"BE10","NA","407.8625"
"2013","BE",752,"BE10","NA","2290.737"
"2013","BE",756,"BE10","NA","959.0862"
"2013","BE",774,"BE10","NA","710.1274"
"2013","BE",814,"BE10","NA","643.9895"
"2013","BE",818,"BE10","NA","4608.921"
"2013","BE",823,"BE10","NA","680.7615"
"2013","BE",850,"BE10","NA","659.4831"
"2013","BE",863,"BE10","NA","887.7208"
"2013","BE",866,"BE10","NA","1300.592"
"2013","BE",887,"BE10","NA","1635.903"
"2013","BE",907,"BE10","NA","572.1277"
"2013","BE",908,"BE10","NA","1295.288"
"2013","BE",911,"BE10","NA","673.3952"
"2013","BE",917,"BE10","NA","978.2977"
"2013","BE",928,"BE10","NA","895.1097"
"2013","BE",939,"BE10","NA","605.7073"
"2013","BE",956,"BE10","NA","1529.498"
"2013","BE",969,"BE10","NA","2391.153"
"2013","BE",979,"BE10","NA","484.8009"
"2013","BE",987,"BE10","NA","1104.441"
"2013","BE",993,"BE10","NA","1288.419"
"2013","BE",998,"BE10","NA","2079.452"
"2013","BE",1023,"BE10","NA","749.7091"
"2013","BE",1029,"BE10","NA","677.7449"
"2013","BE",1030,"BE10","NA","621.1562"
"2013","BE",1056,"BE10","NA","853.6875"
"2013","BE",1062,"BE10","NA","1190.236"
"2013","BE",1069,"BE10","NA","1096.815"
"2013","BE",1071,"BE10","NA","917.1818"
"2013","BE",1091,"BE10","NA","1412.404"
"2013","BE",1103,"BE10","NA","978.9521"
"2013","BE",1176,"BE10","NA","817.7001"
"2013","BE",1228,"BE10","NA","686.0789"
"2013","BE",1233,"BE10","NA","1027.442"
"2013","BE",1248,"BE10","NA","636.7901"
"2013","BE",1267,"BE10","NA","499.5928"
"2013","BE",1270,"BE10","NA","494.5457"
"2013","BE",1309,"BE10","NA","934.2379"
"2013","BE",1321,"BE10","NA","587.1108"
"2013","BE",1366,"BE10","NA","935.0667"
"2013","BE",1369,"BE10","NA","1129.304"
"2013","BE",1384,"BE10","NA","1488.458"
"2013","BE",1386,"BE10","NA","980.1606"
"2013","BE",1418,"BE10","NA","996.0842"
"2013","BE",1419,"BE10","NA","2255.393"
"2013","BE",1432,"BE10","NA","3538.623"
"2013","BE",1433,"BE10","NA","628.4427"
"2013","BE",1436,"BE10","NA","723.1802"
"2013","BE",1451,"BE10","NA","519.3916"
"2013","BE",1454,"BE10","NA","456.3176"
"2013","BE",1459,"BE10","NA","390.6751"
"2013","BE",1460,"BE10","NA","1338.908"
"2013","BE",1480,"BE10","NA","962.0038"
"2013","BE",1494,"BE10","NA","1218.122"
"2013","BE",1501,"BE10","NA","468.21"
"2013","BE",1508,"BE10","NA","1085.864"
"2013","BE",1510,"BE10","NA","578.7741"
"2013","BE",1524,"BE10","NA","2667.012"
