"DB010","DB020","DB030","DB040","DB040_F","DB060","DB060_F","DB062","DB062_F","DB070","DB070_F","DB075","DB075_F","DB090","DB090_F","DB100","DB100_F"
2013,"DE",356,,,,,,,,,,,3057.58318739054,,,
2013,"DE",447,,,,,,,,,,,3057.58318739054,,,
2013,"DE",599,,,,,,,,,,,3057.58318739054,,,
2013,"DE",711,,,,,,,,,,,3057.58318739054,,,
2013,"DE",795,,,,,,,,,,,3057.58318739054,,,
2013,"DE",896,,,,,,,,,,,3057.58318739054,,,
2013,"DE",1082,,,,,,,,,,,3057.58318739054,,,
2013,"DE",1225,,,,,,,,,,,3057.58318739054,,,
2013,"DE",1277,,,,,,,,,,,3057.58318739054,,,
2013,"DE",1313,,,,,,,,,,,3057.58318739054,,,
2013,"DE",2362,,,,,,,,,,,3057.58318739054,,,
2013,"DE",2569,,,,,,,,,,,3057.58318739054,,,
2013,"DE",4020,,,,,,,,,,,3057.58318739054,,,
2013,"DE",4075,,,,,,,,,,,3057.58318739054,,,
2013,"DE",4519,,,,,,,,,,,3057.58318739054,,,
2013,"DE",4812,,,,,,,,,,,3057.58318739054,,,
2013,"DE",5030,,,,,,,,,,,3057.58318739054,,,
2013,"DE",5182,,,,,,,,,,,3057.58318739054,,,
2013,"DE",5246,,,,,,,,,,,3057.58318739054,,,
2013,"DE",5686,,,,,,,,,,,3057.58318739054,,,
2013,"DE",6140,,,,,,,,,,,3057.58318739054,,,
2013,"DE",6213,,,,,,,,,,,3057.58318739054,,,
2013,"DE",6653,,,,,,,,,,,3057.58318739054,,,
2013,"DE",6926,,,,,,,,,,,3057.58318739054,,,
2013,"DE",8484,,,,,,,,,,,3057.58318739054,,,
2013,"DE",8623,,,,,,,,,,,3057.58318739054,,,
2013,"DE",8767,,,,,,,,,,,3057.58318739054,,,
2013,"DE",9550,,,,,,,,,,,3057.58318739054,,,
2013,"DE",9829,,,,,,,,,,,3057.58318739054,,,
2013,"DE",9891,,,,,,,,,,,3057.58318739054,,,
2013,"DE",10564,,,,,,,,,,,3057.58318739054,,,
2013,"DE",11471,,,,,,,,,,,3057.58318739054,,,
2013,"DE",11975,,,,,,,,,,,3057.58318739054,,,
2013,"DE",12301,,,,,,,,,,,3057.58318739054,,,
2013,"DE",12539,,,,,,,,,,,3057.58318739054,,,
2013,"DE",12776,,,,,,,,,,,3057.58318739054,,,
2013,"DE",13339,,,,,,,,,,,3057.58318739054,,,
2013,"DE",13701,,,,,,,,,,,3057.58318739054,,,
2013,"DE",13940,,,,,,,,,,,3057.58318739054,,,
2013,"DE",14017,,,,,,,,,,,3057.58318739054,,,
2013,"DE",14227,,,,,,,,,,,3057.58318739054,,,
2013,"DE",14862,,,,,,,,,,,3057.58318739054,,,
2013,"DE",15327,,,,,,,,,,,3057.58318739054,,,
2013,"DE",15355,,,,,,,,,,,3057.58318739054,,,
2013,"DE",16021,,,,,,,,,,,3057.58318739054,,,
2013,"DE",16136,,,,,,,,,,,3057.58318739054,,,
2013,"DE",16137,,,,,,,,,,,3057.58318739054,,,
2013,"DE",16283,,,,,,,,,,,3057.58318739054,,,
2013,"DE",16472,,,,,,,,,,,3057.58318739054,,,
2013,"DE",16915,,,,,,,,,,,3057.58318739054,,,
2013,"DE",16957,,,,,,,,,,,3057.58318739054,,,
2013,"DE",17856,,,,,,,,,,,3057.58318739054,,,
2013,"DE",17864,,,,,,,,,,,3057.58318739054,,,
2013,"DE",17932,,,,,,,,,,,3057.58318739054,,,
2013,"DE",19003,,,,,,,,,,,3057.58318739054,,,
2013,"DE",20183,,,,,,,,,,,3057.58318739054,,,
2013,"DE",20314,,,,,,,,,,,3057.58318739054,,,
2013,"DE",20826,,,,,,,,,,,3057.58318739054,,,
2013,"DE",21601,,,,,,,,,,,3057.58318739054,,,
2013,"DE",21739,,,,,,,,,,,3057.58318739054,,,
2013,"DE",22223,,,,,,,,,,,3057.58318739054,,,
2013,"DE",22374,,,,,,,,,,,3057.58318739054,,,
2013,"DE",22518,,,,,,,,,,,3057.58318739054,,,
2013,"DE",22903,,,,,,,,,,,3057.58318739054,,,
2013,"DE",23033,,,,,,,,,,,3057.58318739054,,,
2013,"DE",23125,,,,,,,,,,,3057.58318739054,,,
2013,"DE",23553,,,,,,,,,,,3057.58318739054,,,
2013,"DE",23634,,,,,,,,,,,3057.58318739054,,,
2013,"DE",23859,,,,,,,,,,,3057.58318739054,,,
2013,"DE",24027,,,,,,,,,,,3057.58318739054,,,
2013,"DE",24186,,,,,,,,,,,3057.58318739054,,,
2013,"DE",24571,,,,,,,,,,,3057.58318739054,,,
2013,"DE",25127,,,,,,,,,,,3057.58318739054,,,
2013,"DE",25357,,,,,,,,,,,3057.58318739054,,,
2013,"DE",25753,,,,,,,,,,,3057.58318739054,,,
2013,"DE",25779,,,,,,,,,,,3057.58318739054,,,
2013,"DE",26362,,,,,,,,,,,3057.58318739054,,,
2013,"DE",27297,,,,,,,,,,,3057.58318739054,,,
2013,"DE",27793,,,,,,,,,,,3057.58318739054,,,
2013,"DE",28061,,,,,,,,,,,3057.58318739054,,,
2013,"DE",28153,,,,,,,,,,,3057.58318739054,,,
2013,"DE",28372,,,,,,,,,,,3057.58318739054,,,
2013,"DE",28715,,,,,,,,,,,3057.58318739054,,,
2013,"DE",28800,,,,,,,,,,,3057.58318739054,,,
2013,"DE",30082,,,,,,,,,,,3057.58318739054,,,
2013,"DE",30299,,,,,,,,,,,3057.58318739054,,,
2013,"DE",30324,,,,,,,,,,,3057.58318739054,,,
2013,"DE",30504,,,,,,,,,,,3057.58318739054,,,
2013,"DE",30766,,,,,,,,,,,3057.58318739054,,,
2013,"DE",31668,,,,,,,,,,,3057.58318739054,,,
2013,"DE",31979,,,,,,,,,,,3057.58318739054,,,
2013,"DE",32216,,,,,,,,,,,3057.58318739054,,,
2013,"DE",32284,,,,,,,,,,,3057.58318739054,,,
2013,"DE",32376,,,,,,,,,,,3057.58318739054,,,
2013,"DE",32469,,,,,,,,,,,3057.58318739054,,,
2013,"DE",33186,,,,,,,,,,,3057.58318739054,,,
2013,"DE",33307,,,,,,,,,,,3057.58318739054,,,
2013,"DE",33694,,,,,,,,,,,3057.58318739054,,,
2013,"DE",33808,,,,,,,,,,,3057.58318739054,,,
2013,"DE",33936,,,,,,,,,,,3057.58318739054,,,
2013,"DE",34209,,,,,,,,,,,3057.58318739054,,,
2013,"DE",34247,,,,,,,,,,,3057.58318739054,,,
2013,"DE",34361,,,,,,,,,,,3057.58318739054,,,
2013,"DE",34906,,,,,,,,,,,3057.58318739054,,,
2013,"DE",35225,,,,,,,,,,,3057.58318739054,,,
2013,"DE",35520,,,,,,,,,,,3057.58318739054,,,
2013,"DE",35836,,,,,,,,,,,3057.58318739054,,,
2013,"DE",35895,,,,,,,,,,,3057.58318739054,,,
